,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.198067219562879,0.18627591072152655,0.18627591072152655,0.18597677410312677
PBE,0.3224923440548376,0.263477822645833,0.263477822645833,0.2637728348396237
r$^2$SCAN,0.35650955973779547,0.1486435569012369,0.1486435569012369,0.1592527674450247
PBE0,0.31792042595722564,0.16428239291981783,0.16428239291981783,0.16546902016982032
r$^2$SCAN0,0.3834171798038212,0.14986843401796232,0.14986843401796232,0.15251783340255398
HSE12,0.3442475446356824,0.16995559877025335,0.16995559877025335,0.17096280904513567
