,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.7458656100994114,0.7259500500162069,0.7256216001852147,0.7258692740704139
PBE,0.72661359334512,0.7038966042675073,0.7031082297960196,0.7038206381563412
r$^2$SCAN,0.5565687541851709,0.4429258508100844,0.4414093016209665,0.44294997433854644
PBE0,0.3060838122292018,0.20864598440410942,0.20787259296135774,0.20886909880418353
r$^2$SCAN0,0.2600578616086245,0.13344105586511615,0.1320773041248143,0.13392535569288877
HSE12,0.25268225518151943,0.1519910420571017,0.1514369232960336,0.15226845241894027
