,UKS-OEP,SS-KS-OEP,OSS-KS-OEP,STA-KS-OEP,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.17354625777091778,0.15173076125689758,0.15173076125689758,0.15134495171242923,0.17334711927294322,0.14883041429497834,0.14883041429497834,0.14872177223678365
PBE,0.2724427623335681,0.1931681556562157,0.1931681556562157,0.19170338678106225,0.27466087121146077,0.18569769638805,0.18569769638805,0.18518720279937043
r$^2$SCAN,0.4052023852014952,0.22451051669072805,0.22451051669072805,0.22018898762848765,0.4130507281495272,0.187288854180288,0.187288854180288,0.1904406677556757
PBE0,0.3466915363955172,0.19524137164620248,0.19524137164620248,0.19049483157915612,0.350649060011627,0.13585458237747436,0.13585458237747436,0.13595863053863372
r$^2$SCAN0,0.4860464734947511,0.25336065401828056,0.25336065401828056,0.246798885096538,0.4969851883171631,0.1702105059595695,0.1702105059595695,0.17146334176537378
HSE12,0.3778253758927792,0.20627264667784045,0.20627264667784045,0.20087780855217405,0.3912836674781689,0.14221812086548097,0.14221812086548097,0.14198524770021312
