,UKS-OEP,SS-KS-OEP,OSS-KS-OEP,STA-KS-OEP,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.2863245990112591,0.3292697513984726,0.33568947840415864,0.328320895071076,0.28619540781009745,0.33211525268034403,0.3308530621172845,0.3314023183457643
PBE,0.24510505907223493,0.26385089424321573,0.27550640338757326,0.26286521205846214,0.24476251344630814,0.27352176840163733,0.27022863504385325,0.2725790049714155
r$^2$SCAN,0.1000262443006948,0.11030009877438568,0.13397883394358687,0.10882490288233866,0.09986694120875635,0.12379541000031793,0.11697975607259835,0.12007837834786018
PBE0,0.0886034280614001,0.09625445978989605,0.12145818395757375,0.09707144184993616,0.0896948936076106,0.12467248274443943,0.12162425557782619,0.12461696469424025
r$^2$SCAN0,0.1699161260699525,0.10610051082148825,0.07196795080029192,0.10726388118139413,0.17034531359161303,0.08902722243211789,0.0878850756692939,0.07917762107803616
HSE12,0.09576146234088243,0.07670532609464953,0.08790959674921633,0.0781903501934452,0.09606476258752066,0.10784758573982306,0.10512839697969854,0.10832707521038246
