,UKS-OEP,SS-KS-OEP,OSS-KS-OEP,STA-KS-OEP,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.3836497436599544,0.3962469783418041,0.4039090881236733,0.3946039562647846,0.38287344097950604,0.39547538972603646,0.3941881853207988,0.3950710216378459
PBE,0.517547821405803,0.41028816455295947,0.42721750113301726,0.4087402312991012,0.5194233846577688,0.403275025849571,0.39887769624343,0.40355258729783317
r$^2$SCAN,0.45698949542837375,0.24824700189024823,0.2810858292373993,0.24447503691982517,0.46254722540582527,0.22994478033351193,0.21763917505567087,0.2261163667183885
PBE0,0.41316940496011323,0.23157136019850275,0.26320062400954114,0.22972922001075566,0.4155221276583462,0.20977659326408132,0.20672474361974763,0.210999846355688
r$^2$SCAN0,0.4475232347461424,0.1591832340366086,0.20510067726759645,0.15822216880026246,0.45560674229145803,0.13156767188889648,0.11821860301828323,0.13430802114291776
HSE12,0.4038568978673586,0.19900297501947478,0.23537267403554882,0.19682675465398455,0.4153180048533075,0.17763563851644154,0.17509046187634927,0.1796169264547295
