,UKS,pa-SS-KS,pa-OSS-KS,pa-STA-KS
LDA,0.3392435750851173,0.32042659852023503,0.31890053257644474,0.3197528027236825
PBE,0.47819783724810905,0.3968378778380258,0.3944117113264932,0.39196049633793606
r$^2$SCAN,0.3351509755388494,0.23066586458977212,0.2196989575806737,0.2109366794947174
PBE0,0.3020627664953042,0.1893751941600248,0.18521777210042223,0.18638220600310826
r$^2$SCAN0,0.3459383030838744,0.16921317989167228,0.1712328670619345,0.1695995267646863
HSE12,0.32144432981599946,0.1709740473645096,0.16845626351013757,0.16987246384875807
